Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
64496,52776,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.8440200091,26388.0,36717.2267198927,52351,425,52776,52776.0,0.0,52776,52776,0,0.0,0.0,0,0,0,76,32,37.8960133394,18.9480066697,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,76,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
47932,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,64,2,0,0,0,118,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,49277,1,1,40,127,40,40,40.0,0.0,127,127,127.0,0.0,3389.0050124805,40.586886377,49277.0,0.0,49277,49277,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,20,20.2934431885,20.2934431885,40,127,69.0,50.2294734195,2523.0,0,0,0,0,0,1,103.5,40.0,127.0,32,1,40,1,127,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,22238,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,4316.9349761669,89.9361453368,22238.0,0.0,22238,22238,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,44.9680726684,44.9680726684,48,48,48.0,0.0,0.0,0,0,0,0,0,1,72.0,48.0,48.0,32,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50284,118,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,101694.915254237,16949.1525423729,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,8474.5762711864,8474.5762711864,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,20,1,6,1,6,111,16567,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3788,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3167.8986272439,527.9831045407,3788.0,0.0,3788,3788,3788,3788.0,0.0,3788,3788,0,0.0,0.0,0,0,0,40,0,527.9831045407,0.0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,40,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1048533,3,4,432,2278,426,0,144.0,244.2375892446,2266,0,569.5,1131.0035366877,2584.5633852249,6.675993984,174755.5,399394.772028253,989511,4,1018470,509235.0,679212.832882301,989511,28959,1019598,339866.0,587844.375572311,1018650,4,0,72,92,2.8611402788,3.8148537051,0,2266,338.75,792.6742710597,628332.5,0,0,1,0,0,1,387.1428571429,144.0,569.5,72,3,432,4,2278,8192,237,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6040467,9,6,704,5457,517,0,78.2222222222,169.2769755296,2273,0,909.5,952.1751414525,1019.9542518815,2.4832517088,431461.928571429,1479631.69853995,5570279,3,6040467,755058.375,1946490.36045772,5570279,3,297745,59549.0,83376.1332066917,178847,50,0,192,132,1.4899510253,0.9933006835,0,2273,385.0625,702.769043973,493884.329166667,0,0,1,0,0,0,410.7333333333,78.2222222222,909.5,192,9,704,6,5457,8192,119,8,20,470143.0,0.0,470143,470143,5570279.0,0.0,5570279,5570279,BENIGN
56658,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,64,2,0,0,0,257,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
62744,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.352941177,117647.058823529,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,58823.5294117647,58823.5294117647,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,20,1,6,1,6,126,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,202,2,2,58,186,29,29,29.0,0.0,93,93,93.0,0.0,1207920.792,19801.9802,67.33333333,74.89548273,150,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,64,64,9900.990099,9900.990099,29,93,54.6,35.05424368,1228.8,0,0,0,0,0,1,68.25,29.0,93.0,64,2,58,2,186,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,64933,1,1,55,183,55,55,55.0,0.0,183,183,183.0,0.0,3665.316557,30.80097947,64933.0,0.0,64933,64933,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,20,15.40048974,15.40048974,55,183,97.66666667,73.90083446,5461.333333,0,0,0,0,0,1,146.5,55.0,183.0,32,1,55,1,183,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55874,82,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,48780.4878,27.33333333,43.89001405,78,1,0,0.0,0.0,0,0,4,2.0,1.414213562,3,1,0,32,60,12195.12195,36585.36585,0,0,0.0,0.0,0.0,0,0,0,1,0,3,0.0,0.0,0.0,32,1,0,3,0,972,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51586,4,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,64,0,500000.0,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,1,0,0,37.0,18.5,0.0,64,2,37,0,0,972,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
33022,59,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33898.30508,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,16949.15254,16949.15254,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,357,1084,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,251,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,7968.12749,251.0,0.0,251,251,251,251.0,0.0,251,251,0,0.0,0.0,0,0,0,40,0,7968.12749,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,40,2,0,0,0,30744,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115661473,14,14,1285,367,1273,0,91.78571429,339.9769627,367,0,26.21428571,98.08487578,14.28306209,0.242085798,4283758.259,4926776.648,10000000,594,116000000,8894348.077,2966408.519,10000000,93480,116000000,8894259.769,2992309.61,10100000,594,0,280,424,0.121042899,0.121042899,0,1273,57.0,243.5606407,59321.78571,0,0,0,1,0,1,59.03571429,91.78571429,26.21428571,280,14,1285,14,367,253,111,12,20,40266.58333,16761.59681,93480,34987,9595277.167,1405036.62,10000000,5134029,BENIGN
42075,59,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,33898.30508,59.0,0.0,59,59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,16949.15254,16949.15254,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,283,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,11043304,13,10,4296,6424,1269,0,330.4615385,538.5345262,1451,0,642.4,665.3089842,970.723979,2.08271003,501968.3636,2118154.439,9959953,3,10300000,856566.6667,2866929.844,9959953,3,11000000,1224437.0,3307052.798,10000000,48,0,280,208,1.17718393,0.9055261,0,1451,446.6666667,597.8996329,357483.971,0,0,1,0,0,0,466.0869565,330.4615385,642.4,280,13,4296,10,6424,29200,20304,5,20,318847.0,0.0,318847,318847,9959953.0,0.0,9959953,9959953,BENIGN
443,5331616,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,31.69770666,1.125362367,1066323.2,2348278.278,5266948,16,5331616,1332904.0,2622743.04,5266948,16,0,0.0,0.0,0,0,1,160,32,0.937801972,0.187560394,0,46,30.71428571,21.68497395,470.2380952,0,1,0,1,0,0,35.83333333,24.6,46.0,160,5,123,1,46,360,357,2,32,37031.0,0.0,37031,37031,5266948.0,0.0,5266948,5266948,BENIGN
33943,1,2,0,617,0,617,0,308.5,436.284884,0,0,0.0,0.0,617000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,64,0,2000000.0,0.0,0,617,411.3333333,356.2251161,126896.3333,0,1,0,1,0,0,617.0,308.5,0.0,64,2,617,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23483,1,1,66,122,66,66,66.0,0.0,122,122,122.0,0.0,8005.791424,85.16799387,23483.0,0.0,23483,23483,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,20,42.58399693,42.58399693,66,122,84.66666667,32.33161507,1045.333333,0,0,0,0,0,1,127.0,66.0,122.0,32,1,66,1,122,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,34871,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,57.35424852,34871.0,0.0,34871,34871,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,28.67712426,28.67712426,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,20,1,0,1,0,356,64,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,118288978,21,20,1406,6524,789,0,66.95238095,186.1035938,1460,0,326.2,580.9636822,67.03921307,0.346608794,2957224.45,4478704.599,10000000,3,118000000,5914448.9,4803992.683,10000000,3,113000000,5940096.105,4941992.235,10000000,4,0,432,412,0.177531333,0.16907746,0,1460,188.8095238,437.0229797,190989.0848,0,0,1,0,0,0,193.4146341,66.95238095,326.2,432,21,1406,20,6524,8192,5120,15,20,239025.3333,729746.6036,2556282,28247,9618389.25,1328900.641,10000000,5398576,BENIGN
465,154,3,0,37,0,37,0,12.33333333,21.36195996,0,0,0.0,0.0,240259.7403,19480.51948,77.0,41.01219331,106,48,154,77.0,41.01219331,106,48,0,0.0,0.0,0,0,0,60,0,19480.51948,0.0,0,37,9.25,18.5,342.25,0,0,0,1,0,0,12.33333333,12.33333333,0.0,60,3,37,0,0,254,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61468,2,2,68,260,34,34,34.0,0.0,130,130,130.0,0.0,5336.109846,65.07451031,20489.33333,35482.50417,61461,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,64,64,32.53725516,32.53725516,34,130,72.4,52.58136552,2764.8,0,0,0,0,0,1,90.5,34.0,130.0,64,2,68,2,260,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5426486,9,7,347,4449,190,0,38.55555556,70.31911389,1460,0,635.5714286,663.9146173,883.813208,2.948501111,361765.7333,1300785.46,5059997,3,5426486,678310.75,1772291.702,5059997,3,327479,54579.83333,93500.31199,240633,47,0,204,152,1.658531875,1.289969236,0,1460,282.1176471,510.6523869,260765.8603,0,0,1,0,0,0,299.75,38.55555556,635.5714286,204,9,347,7,4449,8192,946,3,20,366486.0,0.0,366486,366486,5059997.0,0.0,5059997,5059997,BENIGN
53,188,2,2,72,146,36,36,36.0,0.0,73,73,73.0,0.0,1159574.468,21276.59574,62.66666667,68.19335256,137,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,40,40,10638.29787,10638.29787,36,73,50.8,20.26573463,410.7,0,0,0,0,0,1,63.5,36.0,73.0,40,2,72,2,146,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
62346,15,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,200000.0,7.5,9.192388155,14,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,64,32,133333.3333,66666.66667,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0.0,0.0,0.0,64,2,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
55827,3,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,12300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,64,0,666666.6667,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,1,0,0,37.0,18.5,0.0,64,2,37,0,0,972,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,198,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,70707.07071,15151.51515,99.0,36.76955262,125,73,198,198.0,0.0,198,198,0,0.0,0.0,0,0,1,64,20,10101.0101,5050.505051,0,14,7.0,8.082903769,65.33333333,0,1,0,1,0,0,9.333333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,217,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,64516.12903,13824.88479,108.5,26.1629509,127,90,217,217.0,0.0,217,217,0,0.0,0.0,0,0,1,64,20,9216.589862,4608.294931,0,14,7.0,8.082903769,65.33333333,0,1,0,1,0,0,9.333333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9463259,9,15,102,188,20,0,11.33333333,8.888194417,34,0,12.53333333,14.54975045,30.64483388,2.536124183,411446.0435,1082243.86,3805227,1,6465158,808144.75,1526775.546,3853527,2,9463165,675940.3571,1337760.484,3805227,1,0,296,488,0.951046569,1.585077614,0,34,11.6,12.489996,156.0,0,0,1,0,0,1,12.08333333,11.33333333,12.53333333,296,9,102,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9709279,9,15,110,188,24,0,12.22222222,9.972183534,34,0,12.53333333,14.54975045,30.6922893,2.471862226,422142.5652,1108271.794,3706486,3,6420790,802598.75,1511134.112,3748954,19,9709152,693510.8571,1369653.096,3706486,3,0,296,488,0.926948335,1.544913891,0,34,11.92,12.76035527,162.8266667,0,0,1,0,0,1,12.41666667,12.22222222,12.53333333,296,9,110,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,8991068,9,15,108,188,23,0,12.0,9.656603958,34,0,12.53333333,14.54975045,32.92156171,2.669315814,390916.0,1004840.812,3131239,3,5991989,748998.625,1363325.301,3174282,257,8990970,642212.1429,1238934.066,3131239,3,0,296,488,1.00099343,1.668322384,0,34,11.84,12.67767066,160.7233333,0,0,1,0,0,1,12.33333333,12.0,12.53333333,296,9,108,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,243,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,57613.16872,12345.67901,121.5,99.70205615,192,51,243,243.0,0.0,243,243,0,0.0,0.0,0,0,1,64,20,8230.452675,4115.226337,0,14,7.0,8.082903769,65.33333333,0,1,0,1,0,0,9.333333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,220,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,63636.36364,13636.36364,110.0,36.76955262,136,84,220,220.0,0.0,220,220,0,0.0,0.0,0,0,1,64,20,9090.909091,4545.454545,0,14,7.0,8.082903769,65.33333333,0,1,0,1,0,0,9.333333333,7.0,0.0,64,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9627701,9,15,116,188,28,0,12.88888889,10.81023178,34,0,12.53333333,14.54975045,31.57555475,2.492806954,418595.6957,1089067.882,3348694,3,6235128,779391.0,1442768.744,3243581,4,9627573,687683.7857,1344593.193,3348694,3,0,296,488,0.934802608,1.558004346,0,34,12.16,12.99576854,168.89,0,0,1,0,0,1,12.66666667,12.88888889,12.53333333,296,9,116,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,1,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,14000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,64,0,2000000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,1,0,0,14.0,7.0,0.0,64,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,8017567,9,15,107,188,26,0,11.88888889,9.854496999,34,0,12.53333333,14.54975045,36.79420453,2.993426809,348589.8696,903284.6832,2871339,1,5103940,637992.5,1176283.104,2558532,2,8017375,572669.6429,1114727.98,2871339,1,0,296,488,1.122535053,1.870891756,0,34,11.8,12.72792206,162.0,0,0,1,0,0,1,12.29166667,11.88888889,12.53333333,296,9,107,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
22,14201661,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,334.6791618,3.731957832,273108.8654,737057.7048,2501407,40,11800000,592133.6,1038610.726,2566372,849,14200000,458114.0,914370.1272,2501407,48,0,680,1032,1.478700273,2.253257559,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,12605892,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,377.0459084,4.204383157,242421.0,658122.2307,2384391,3,10300000,517023.2,922001.8205,2448199,405,12600000,406636.9677,816943.6165,2384391,3,0,680,1032,1.665887666,2.538495491,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,11394071,20,33,2008,2745,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,417.1467775,4.651542017,219116.75,592006.9796,2176468,4,9901809,521147.8421,887081.2761,2238970,673,11400000,356060.9375,725510.7403,2176468,4,0,648,1064,1.755298874,2.896243143,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,100.4,83.18181818,648,20,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,13351441,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,355.9915368,3.969608973,256758.4808,695859.6574,2654969,2,11400000,567746.4,1003448.695,2724939,532,13400000,430686.4516,863665.5179,2654969,2,0,680,1032,1.572863933,2.39674504,0,976,88.01851852,189.5902723,35944.47135,0,0,1,0,0,1,89.67924528,95.61904762,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,64,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31250.0,64.0,0.0,64,64,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,15625.0,15625.0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,63,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,15873.01587,15873.01587,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,81,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24691.35802,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,12345.67901,12345.67901,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,32,1,0,1,0,259,247,0,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
22,12169636,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,390.5622157,4.108586321,248359.9184,646524.2295,2200205,3,9927420,551523.3333,903141.5201,2164211,273,12200000,405651.8,791170.0356,2200205,3,0,616,1000,1.561262802,2.547323519,0,976,93.19607843,193.9302988,37608.96078,0,0,1,0,0,1,95.06,105.6842105,88.5483871,616,19,2008,31,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,SSH-Patator
